participant,session,view_instance,view,view_instance_id,NFD,FD,NKFD,KFD,NAFD,NAKFD,AFD,AKFD,NFC,FC,NKFC,KFC,NAKFC,AKFC,NSD,SD,NKSD,KSD,NASD,NAKSD,ASD,AKSD,NSC,SC,NKSC,KSC,NAKSC,AKSC,ASW,NASW,ARG,NARG,AED,VSW,NVSW,VRG,NVRG,VED,CA,IOU,isKeyAOI,issue,search,read,operate
P8,P8,split_data_06,SeatSelect,6,1.0,1234.60986328125,1.0,1234.60986328125,1.0,2.517241379310345,411.53662109375,42.57275390625,0.75,3.0,1.0,4.0,2.5172413793103448,0.13793103448275862,1.0,1605.18994140625,1.0,1605.18994140625,1.0,2.5172413793103448,802.594970703125,55.35137728987069,1.0,2.0,1.0,2.0,2.5172413793103448,0.06896551724137931,4,0.12121212121212122,1,0.25,27,9,0.5625,2,0.2222222222222222,2,183.37423686000017,0.06396473789728299,1,0,0,0,1
P8,P8,split_data_06,SeatSelect,6,0.0,0.0,1.0,1234.60986328125,0.0,2.517241379310345,0.0,42.57275390625,0.25,1.0,1.0,4.0,2.5172413793103448,0.13793103448275862,0.0,0.0,1.0,1605.18994140625,0.0,2.5172413793103448,0.0,55.35137728987069,0.0,0.0,1.0,2.0,2.5172413793103448,0.06896551724137931,4,0.12121212121212122,1,0.25,27,9,0.5625,2,0.2222222222222222,2,183.37423686000017,0.06396473789728299,1,0,0,0,1
P8,P8,split_data_07,TimeSelect,7,0.44314220238856306,242.0,0.44314220238856306,242.0,0.6141351859229295,0.7596723469518224,242.0,17.285714285714285,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5714285714285714,0.07142857142857142,0.03499723463177095,90.72998046875,1.0,2592.489990234375,0.03499723463177095,1.7142857142857142,90.72998046875,185.1778564453125,0.5,1.0,1.0,2.0,1.7142857142857142,0.14285714285714285,2,0.125,0,0.0,14,9,0.5625,2,0.2222222222222222,2,2.1358540799999934,0.0030903581761474014,1,0,0,0,1
P8,P8,split_data_07,TimeSelect,7,0.5568577976114369,304.10009765625,0.44314220238856306,242.0,0.38586481407707046,0.7596723469518224,152.050048828125,17.285714285714285,0.6666666666666666,2.0,0.3333333333333333,1.0,0.5714285714285714,0.07142857142857142,0.0,0.0,1.0,2592.489990234375,0.0,1.7142857142857142,0.0,185.1778564453125,0.0,0.0,1.0,2.0,1.7142857142857142,0.14285714285714285,2,0.125,0,0.0,14,9,0.5625,2,0.2222222222222222,2,2.1358540799999934,0.0030903581761474014,0,0,0,0,1
P8,P8,split_data_07,TimeSelect,7,0.0,0.0,0.44314220238856306,242.0,0.0,0.7596723469518224,0.0,17.285714285714285,0.0,0.0,0.3333333333333333,1.0,0.5714285714285714,0.07142857142857142,0.965002765368229,2501.760009765625,1.0,2592.489990234375,0.965002765368229,1.7142857142857142,2501.760009765625,185.1778564453125,0.5,1.0,1.0,2.0,1.7142857142857142,0.14285714285714285,2,0.125,0,0.0,14,9,0.5625,2,0.2222222222222222,2,2.1358540799999934,0.0030903581761474014,1,0,0,0,1
P8,P8,split_data_08,SeatSelect,8,0.3040294690502744,303.159912109375,0.36336935350985544,362.330078125,0.22814738137509477,0.9146883726282569,151.5799560546875,12.494140625,0.4,2.0,0.4,2.0,1.006896551724138,0.06896551724137931,0.0,0.0,0.20246018228146362,452.27978515625,0.0,0.5096411485016153,0.0,15.595854660560345,0.0,0.0,0.6666666666666666,2.0,1.67816091954023,0.06896551724137931,3,0.09375,0,0.0,28,9,0.5625,2,0.2222222222222222,2,68.26673663999999,0.08335580596318519,0,0,0,0,1
P8,P8,split_data_08,SeatSelect,8,0.3326011774398701,331.64990234375,0.36336935350985544,362.330078125,0.4991758720772672,0.9146883726282569,331.64990234375,12.494140625,0.2,1.0,0.4,2.0,1.006896551724138,0.06896551724137931,0.7975398177185364,1781.639892578125,0.20246018228146362,452.27978515625,0.7975398177185364,0.5096411485016153,1781.639892578125,15.595854660560345,0.3333333333333333,1.0,0.6666666666666666,2.0,1.67816091954023,0.06896551724137931,3,0.09375,0,0.0,28,9,0.5625,2,0.2222222222222222,2,68.26673663999999,0.08335580596318519,0,0,0,0,1
P8,P8,split_data_08,SeatSelect,8,0.0,0.0,0.36336935350985544,362.330078125,0.0,0.9146883726282569,0.0,12.494140625,0.0,0.0,0.4,2.0,1.006896551724138,0.06896551724137931,0.12182618070662346,272.14990234375,0.20246018228146362,452.27978515625,0.12182618070662346,0.5096411485016153,272.14990234375,15.595854660560345,0.3333333333333333,1.0,0.6666666666666666,2.0,1.67816091954023,0.06896551724137931,3,0.09375,0,0.0,28,9,0.5625,2,0.2222222222222222,2,68.26673663999999,0.08335580596318519,1,0,0,0,1
P8,P8,split_data_08,SeatSelect,8,0.36336935350985544,362.330078125,0.36336935350985544,362.330078125,0.272676746547638,0.9146883726282569,181.1650390625,12.494140625,0.4,2.0,0.4,2.0,1.006896551724138,0.06896551724137931,0.08063400157484016,180.1298828125,0.20246018228146362,452.27978515625,0.08063400157484016,0.5096411485016153,180.1298828125,15.595854660560345,0.3333333333333333,1.0,0.6666666666666666,2.0,1.67816091954023,0.06896551724137931,3,0.09375,0,0.0,28,9,0.5625,2,0.2222222222222222,2,68.26673663999999,0.08335580596318519,1,0,0,0,1
P8,P8,split_data_09,InfoConfirm,9,0.49027304216405787,870.7099609375,1.0,1775.969482421875,0.40316567276537635,2.111111111111111,435.35498046875,197.32994249131946,0.2857142857142857,2.0,1.0,7.0,2.111111111111111,0.7777777777777778,1.0,511.969970703125,1.0,511.969970703125,1.0,2.111111111111111,511.969970703125,56.88555230034722,1.0,1.0,1.0,1.0,2.111111111111111,0.1111111111111111,6,0.4,1,0.16666666666666666,6,9,0.5625,2,0.2222222222222222,2,83.18716873999999,0.2618845390094555,1,0,0,1,0
P8,P8,split_data_09,InfoConfirm,9,0.20406314167919123,362.409912109375,1.0,1775.969482421875,0.3356140220908878,2.111111111111111,362.409912109375,197.32994249131946,0.14285714285714285,1.0,1.0,7.0,2.111111111111111,0.7777777777777778,0.0,0.0,1.0,511.969970703125,0.0,2.111111111111111,0.0,56.88555230034722,0.0,0.0,1.0,1.0,2.111111111111111,0.1111111111111111,6,0.4,1,0.16666666666666666,6,9,0.5625,2,0.2222222222222222,2,83.18716873999999,0.2618845390094555,1,0,0,1,0
P8,P8,split_data_09,InfoConfirm,9,0.08541247071396275,151.68994140625,1.0,1775.969482421875,0.14047427966241247,2.111111111111111,151.68994140625,197.32994249131946,0.14285714285714285,1.0,1.0,7.0,2.111111111111111,0.7777777777777778,0.0,0.0,1.0,511.969970703125,0.0,2.111111111111111,0.0,56.88555230034722,0.0,0.0,1.0,1.0,2.111111111111111,0.1111111111111111,6,0.4,1,0.16666666666666666,6,9,0.5625,2,0.2222222222222222,2,83.18716873999999,0.2618845390094555,1,0,0,1,0
P8,P8,split_data_09,InfoConfirm,9,0.2202513454427881,391.15966796875,1.0,1775.969482421875,0.12074602548132349,2.111111111111111,130.38655598958334,197.32994249131946,0.42857142857142855,3.0,1.0,7.0,2.111111111111111,0.7777777777777778,0.0,0.0,1.0,511.969970703125,0.0,2.111111111111111,0.0,56.88555230034722,0.0,0.0,1.0,1.0,2.111111111111111,0.1111111111111111,6,0.4,1,0.16666666666666666,6,9,0.5625,2,0.2222222222222222,2,83.18716873999999,0.2618845390094555,1,0,0,1,0
